year,conference,Rk,School,G,W,L,W%,,ORtg,DRtg,NRtg,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,SRS,SOS,Pace
2023,Big Ten,6,Maryland,35,2,9,0.629,,107.7,98.1,9.6,24.6,55.0,0.448,6.7,20.3,0.328,0.508,13.8,18.9,0.732,9.8,33.6,11.4,5.5,3.7,10.7,16.0,63.5,14.58,8.35,64.5
2023,Big Ten,7,Michigan,34,3,8,0.529,,106.4,101.0,5.4,26.4,58.6,0.45,7.7,21.9,0.351,0.516,12.9,18.1,0.711,8.8,36.7,12.2,4.6,4.6,10.5,15.5,69.6,12.43,8.69,67.4
2023,Big Ten,8,Michigan State,34,5,7,0.618,,106.8,102.3,4.5,25.9,57.2,0.452,7.4,18.9,0.393,0.517,11.8,15.5,0.759,9.0,35.7,14.6,4.7,3.0,10.9,16.4,67.9,14.25,11.25,65.4
2023,Big Ten,9,Penn State,37,4,7,0.622,,110.4,104.2,6.2,26.4,57.1,0.463,10.4,26.9,0.387,0.554,9.0,12.1,0.739,6.1,32.6,13.7,4.4,2.1,9.0,15.5,68.2,13.04,9.02,64.4
2023,Big Ten,10,Rutgers,34,4,7,0.559,,102.7,91.8,10.9,25.5,59.2,0.431,5.7,17.9,0.321,0.479,11.7,16.7,0.7,11.6,36.8,15.1,8.7,3.9,11.4,16.0,61.1,14.58,7.31,66.1
2023,Big Ten,11,Nebraska,32,4,9,0.5,,99.5,102.3,-2.8,25.6,55.9,0.458,6.7,20.5,0.326,0.517,10.1,15.8,0.641,8.3,34.5,13.1,5.5,2.5,12.7,14.1,69.9,7.12,9.02,67.2
2023,Big Ten,12,Wisconsin,35,6,6,0.571,,101.1,98.5,2.6,23.7,57.3,0.414,7.9,23.1,0.342,0.483,9.9,14.3,0.691,7.9,31.7,11.6,5.9,1.5,8.6,15.8,63.6,10.98,9.29,63.2
2023,Big Ten,13,Ohio State,35,1,10,0.457,,109.2,103.9,5.3,27.1,58.6,0.462,6.8,18.6,0.368,0.52,11.5,15.6,0.739,10.6,35.9,11.7,5.2,3.8,10.7,16.4,69.0,12.99,9.45,65.9
2023,Big Ten,14,Minnesota,31,1,9,0.29,,95.4,107.8,-12.4,23.2,53.7,0.433,6.2,19.1,0.325,0.49,10.2,16.5,0.619,8.5,32.8,14.6,4.6,4.0,12.9,15.5,71.0,-0.3,7.86,65.4
2024,Big Ten,1,Purdue,39,7,3,0.872,,119.5,100.1,19.3,28.4,58.3,0.488,8.2,20.2,0.404,0.558,17.3,24.1,0.72,12.2,40.4,18.5,5.4,3.6,11.3,13.7,69.0,24.93,11.6,68.3
2024,Big Ten,2,Illinois,38,6,5,0.763,,118.2,104.0,14.2,29.1,62.0,0.469,8.3,23.9,0.349,0.536,16.9,23.0,0.736,12.8,40.9,13.3,4.4,3.8,10.6,15.2,73.3,19.56,9.54,70.1
2024,Big Ten,3,Nebraska,34,3,8,0.676,,110.8,101.1,9.7,26.8,59.3,0.452,9.4,26.3,0.357,0.531,14.7,19.4,0.76,9.6,37.6,15.3,6.3,2.6,11.1,15.9,70.9,14.36,7.53,69.4
2024,Big Ten,4,Northwestern,34,4,7,0.647,,111.2,104.7,6.5,26.2,57.6,0.455,8.2,21.0,0.39,0.526,12.7,16.9,0.752,8.5,31.4,15.6,7.0,3.1,8.8,17.6,69.1,12.77,8.5,64.8
2024,Big Ten,5,Wisconsin,36,3,9,0.611,,112.0,105.0,7.0,26.4,57.4,0.461,7.1,20.4,0.349,0.522,14.7,19.4,0.755,10.1,34.0,12.7,6.2,1.6,9.9,16.5,70.0,16.01,11.35,66.0
2024,Big Ten,6,Indiana,33,4,6,0.576,,104.2,107.1,-2.9,26.6,56.0,0.476,5.0,15.5,0.324,0.521,14.0,21.1,0.664,8.9,35.0,15.3,5.2,4.0,12.1,16.9,74.3,7.74,9.74,69.4
2024,Big Ten,7,Iowa,34,4,9,0.559,,114.0,108.9,5.1,30.1,63.4,0.476,6.6,18.9,0.351,0.528,16.2,20.9,0.774,9.8,35.6,17.8,6.8,3.9,9.6,16.9,79.4,13.0,9.26,72.6
